,R_t3
404,0.72149
405,0.74224
406,0.73422
407,0.76993
408,0.79784
409,0.79217
410,0.79377
411,0.79564
412,0.79651
413,0.79184
414,0.80172
415,0.79513
416,0.85093
417,0.85484
418,0.85284
419,0.86949
420,0.84897
421,0.84787
422,0.84618
423,0.85309
424,0.84874
425,0.84991
426,0.8488
427,0.84925
428,0.85398
429,0.85245
430,0.8586
431,0.85671
432,0.85623
433,0.85852
434,0.85729
435,0.8622
436,0.88668
437,0.88117
438,0.87888
439,0.95331
440,0.95072
441,0.9767
442,0.95279
443,0.98161
444,0.95682
445,1.03687
446,1.07512
447,1.10143
448,1.11019
449,1.11743
450,1.11118
451,1.11131
452,1.11613
453,1.13087
454,1.10647
455,1.11088
456,1.11025
457,1.11839
458,1.10625
459,1.17335
460,1.16422
461,1.18317
462,1.20637
463,1.18877
464,1.19029
465,1.20052
466,1.2325
467,1.23508
468,1.26041
469,1.36283
470,1.37086
471,1.35987
472,1.35857
473,1.36344
474,1.37234
475,1.37273
476,1.37887
477,1.48244
478,1.41716
479,1.41648
480,1.43965
481,1.41668
482,1.4905
483,1.48249
484,1.50594
485,1.48821
486,1.49975
487,1.47637
488,1.4864
489,1.49683
490,1.48349
491,1.50889
492,1.47746
493,1.48665
494,1.65187
495,1.65652
496,1.66687
497,1.65358
498,1.6743
499,1.65904
500,1.6478
501,1.65538
502,1.68637
503,1.67231
504,1.70568
505,1.67218
506,1.66901
507,1.6891
508,1.67338
509,1.67957
510,1.69625
511,1.67507
512,1.87495
513,1.87394
514,1.88172
515,1.8804
516,1.91478
517,1.88316
518,1.89359
519,1.8844
520,1.89654
521,1.93415
522,1.8978
523,1.89604
524,1.91639
525,1.9126
526,1.89697
527,1.91591
528,1.89177
529,1.90315
530,1.89855
531,1.90337
532,1.90023
533,1.90059
534,1.90324
535,1.91535
536,1.90017
537,1.97437
538,1.95905
539,2.05996
540,2.03805
541,2.04626
542,2.07091
543,2.11738
544,2.10756
545,2.3968
546,2.39371
547,2.4159
548,2.39827
549,2.39163
550,2.3938
551,2.42547
552,2.38371
553,2.5071
554,2.50457
555,2.53027
556,2.49667
557,2.50464
558,2.71619
559,2.73616
560,2.72363
561,2.74371
562,2.74016
563,2.77654
564,2.74884
565,2.75853
566,2.77198
567,2.81427
568,2.74755
569,2.91344
570,2.93625
571,2.89724
572,2.90418
573,2.92601
574,2.96072
575,2.95048
576,2.94629
577,2.96866
578,2.94197
579,2.93827
580,2.94224
581,2.98849
582,2.95657
583,2.9433
584,2.96806
585,2.9819
586,2.96962
587,2.96587
588,2.9709
589,2.97568
590,2.94534
591,2.96917
592,2.95185
593,2.9756
594,3.24491
595,3.27835
596,3.24159
597,3.23936
598,3.2667
599,3.23981
600,3.35538
601,3.38482
602,3.38629
603,3.41992
604,3.38401
605,3.34964
606,3.36401
607,3.7731
608,3.77724
609,3.7718
610,3.77863
611,3.78003
612,3.8394
613,3.8001
614,3.81284
615,3.83123
616,3.82153
617,3.80984
618,3.83751
619,3.81803
620,3.83815
621,3.83884
622,3.83559
623,3.84934
624,3.81117
625,3.81464
626,3.83771
627,3.82428
628,4.21758
629,4.21241
630,4.18042
631,4.3503
632,4.33086
633,4.58133
634,4.54127
635,4.57381
636,4.57184
637,4.55236
638,4.86578
639,4.84724
640,4.93457
641,4.89548
642,4.85181
643,4.82273
644,4.88538
645,4.85434
646,4.85693
647,4.86776
648,4.89424
649,4.89139
650,4.97301
651,4.87888
652,4.87387
653,4.93086
654,4.88236
655,5.04575
656,5.02565
657,5.07398
658,5.03375
659,5.08974
660,5.03199
661,5.06674
662,5.02609
663,5.05649
664,5.28979
665,5.32614
666,5.51974
667,5.5397
668,5.49933
669,5.54171
670,5.71023
671,5.69733
672,5.74161
673,5.72229
674,5.71295
675,5.70363
676,5.7379
677,5.93676
678,5.94706
679,5.95762
680,5.92225
681,5.95072
682,5.9401
683,5.94344
684,5.93167
685,5.94974
686,5.96054
687,5.94688
688,5.96066
689,5.9459
690,5.98455
691,5.97366
692,5.96415
693,6.27238
694,6.24738
695,6.27941
696,6.30365
697,6.29913
698,6.29504
699,6.35381
700,6.378
701,6.39421
702,6.36949
703,6.38681
704,6.42543
705,6.37529
706,6.37411
707,6.36461
708,6.38098
709,6.68324
710,6.68763
711,6.69799
712,6.75342
713,6.73636
714,6.81645
715,6.81751
716,6.78267
717,6.78997
718,7.07623
719,7.06622
720,7.06896
721,7.09415
722,7.07637
723,7.11645
724,7.09035
725,7.06103
726,7.10794
727,7.11494
728,7.15408
729,7.23767
730,7.1068
731,7.1055
732,7.20225
733,7.21994
734,7.20949
735,7.1794
736,7.22679
737,7.21285
738,7.19931
739,7.19622
740,7.25015
741,7.20084
742,7.25706
743,7.26863
744,7.27675
745,7.25201
746,7.27172
747,7.4307
748,7.44169
749,7.33947
750,7.35996
751,7.35015
752,7.33832
753,7.35835
754,7.37694
755,7.35532
756,7.34846
757,7.39541
758,7.3455
759,7.32723
760,7.35873
761,7.39931
762,7.39179
763,7.33278
764,7.37707
765,7.37444
766,7.3435
767,7.39914
768,7.38675
769,7.41272
770,7.365
771,7.40207
772,7.40043
773,7.37994
774,7.48865
775,7.82951
776,8.25824
777,8.25577
778,8.29707
779,8.24239
780,8.26483
781,8.63029
782,8.63813
783,8.69454
784,8.75035
785,8.64088
786,8.82489
787,8.91701
788,8.8291
789,8.83643
790,8.84255
791,8.85154
792,8.87084
793,9.00756
794,9.03749
795,9.21438
796,9.21787
797,9.19336
798,9.23965
799,9.24498
800,9.32043
801,10.19884
802,10.17199
803,10.20752
804,10.20923
805,10.20782
806,10.22053
807,10.19317
808,10.21325
809,10.25239
810,10.24201
811,10.28701
812,10.60239
813,10.54021
814,10.54883
815,10.7023
816,10.73583
817,11.00516
818,11.09463
819,11.03285
820,11.02739
821,11.03338
822,11.04025
823,11.05235
824,11.03836
825,11.03226
826,11.11897
827,11.60819
828,11.57743
829,11.61664
830,11.6611
831,11.67689
832,11.6962
833,11.72122
834,11.72397
835,12.41079
836,12.41488
837,12.45265
838,12.82563
839,13.38816
840,13.31462
841,13.39411
842,13.4221
843,13.43234
844,14.30481
845,14.18743
846,14.18708
847,14.21738
848,14.2028
849,14.2156
850,14.18482
851,14.57381
852,14.61376
853,14.60813
854,14.80412
855,14.83854
856,14.61265
857,14.60837
858,14.62295
859,14.67326
860,14.64851
861,14.69982
862,14.73167
863,14.94138
864,15.08511
865,14.92172
866,14.91408
867,14.86595
868,15.38565
869,15.36535
870,15.41854
871,15.49271
872,15.4926
873,15.45094
874,15.47948
875,15.41714
876,15.49562
877,15.42546
878,15.49477
879,15.45222
880,15.63363
881,15.64741
882,15.72243
883,15.6847
884,15.80632
885,15.79238
886,15.81898
887,15.81687
888,15.86233
889,15.80956
890,15.85685
891,15.89784
892,15.80401
893,15.81089
894,15.80594
895,15.86015
896,15.85415
897,15.93124
898,15.93305
899,15.93377
900,15.9513
